,BR12,BR16,BR13,BR29,BR23,BR21,BR51,BR50,BR31,BR15,BR41,BR22,BR43,BR11,BR14,BR42,BR35,BR17,BR25,BR27,BR32,BR53
1983-12-01,199.57674,155.07802,290.65915,111.714935,13.505616,142.21776,281.94177,154.98573,298.51685,199.94368,132.5925,126.72813,72.62677,245.41745,110.23733,193.40305,251.14067,277.74716,3.663766,12.508819,256.71994,320.7487
1984-01-01,271.53354,273.26706,291.90836,51.576023,69.09401,208.24323,216.67096,179.23048,115.82048,266.75494,149.1627,153.75667,199.03065,237.53275,147.91745,181.71545,178.47054,157.1404,38.143486,35.876183,91.29087,156.46498
1984-02-01,346.06195,314.14273,332.30167,55.445114,117.80929,248.76631,200.89424,116.1078,78.114105,294.55658,73.08607,153.93507,153.73991,218.98967,65.15932,146.22426,83.915924,190.72203,32.613297,23.669287,66.99393,147.81432
1984-03-01,295.11395,330.44046,282.72543,136.88826,343.93073,365.71387,231.46036,172.4474,142.87059,351.08136,138.11124,293.15823,80.26197,239.72607,64.93977,132.57214,119.88252,276.3783,228.05336,144.08835,119.19107,201.11577
1984-04-01,218.00975,364.02808,287.02185,140.29665,400.9452,394.3515,180.1508,90.54304,80.44719,399.26877,111.582054,290.94757,171.17834,212.32007,125.14737,108.079956,101.30701,223.61784,301.5046,224.45148,82.93345,119.19214
1984-05-01,100.45029,328.0108,243.40067,47.821423,184.58585,177.20717,56.906853,43.897526,23.479393,239.89781,77.59923,45.70678,273.78848,91.17977,283.239,91.080315,65.88725,31.896357,185.24564,115.63461,18.619873,25.135931
1984-06-01,50.976353,245.08142,161.25557,30.538109,47.160076,40.557182,2.2059164,3.1427565,2.336538,90.14914,75.28504,5.940328,219.5032,5.252119,326.21857,163.67296,5.9280276,2.8352916,38.61862,56.64546,11.85578,0.021410864
1984-07-01,40.905453,148.74438,134.48967,33.466267,24.184002,31.92319,1.100302,2.1218836,5.0857105,80.16291,37.135094,2.7997508,146.39902,8.042417,281.7907,119.57777,12.819819,0.81082904,62.876926,102.52971,20.346283,0.3503172
1984-08-01,47.67164,94.43632,119.83802,33.367702,7.801791,40.327312,35.215794,87.10397,42.18864,83.320526,136.24516,7.261763,124.57362,31.910034,186.974,269.1274,94.5045,17.002518,44.708088,69.587204,80.409744,53.771484
1984-09-01,113.27428,79.069664,194.5974,48.18145,4.1148033,43.453262,83.04603,77.77022,74.95512,116.08372,110.611206,26.894703,148.19789,86.60555,154.27634,135.97244,97.165245,69.168365,10.889216,44.715305,60.299393,62.83061
1984-10-01,256.76123,85.96171,223.0703,75.96128,16.391247,73.997574,188.98569,82.872505,90.37912,143.84973,58.42167,57.82063,134.28468,188.93726,114.15009,102.9522,48.340813,167.73537,13.594692,20.606817,96.18997,125.1671
1984-11-01,259.00363,81.97653,200.44963,62.72835,9.238579,56.45092,193.42642,197.23747,171.63483,119.337555,166.40385,66.69371,106.585625,198.79582,147.76143,176.29485,133.9399,122.54325,7.831663,20.829912,183.55885,173.02196
1984-12-01,278.65457,152.00916,294.76154,69.81426,20.096548,89.4576,265.2289,249.05374,273.5941,179.38976,195.3356,105.128456,72.133354,245.24124,99.70346,133.02963,227.03325,176.6782,8.828426,10.193669,269.41373,226.39044
1985-01-01,274.4709,348.82858,283.1664,333.68576,289.34357,461.65146,388.70038,216.52051,499.07135,376.88568,63.961567,454.76474,60.54849,272.66647,47.724285,69.69206,213.24345,473.87164,142.1708,155.81418,390.11612,503.64456
1985-02-01,203.45703,297.98322,226.84445,98.85169,385.47607,378.98944,204.23653,177.43652,125.49222,330.1164,171.72427,274.7535,129.38002,210.60332,18.887438,236.67773,175.71239,239.50116,334.52283,152.65048,119.51189,150.02885
1985-03-01,254.1967,332.8821,268.28604,116.56345,446.2118,365.59515,275.5609,186.22945,201.97406,355.02393,122.319046,335.38162,183.49763,247.22261,43.463135,123.08833,196.15979,264.23776,312.02307,186.35143,130.83876,247.19308
1985-04-01,272.24045,244.42635,213.88751,118.851135,529.7594,416.69675,200.09789,106.81275,43.583958,302.39078,156.89139,401.2774,148.02097,246.79744,79.69586,135.69351,132.56436,219.00958,452.11633,265.47202,52.713974,102.06836
1985-05-01,106.34122,455.50003,254.66434,52.923473,211.62811,240.60478,34.988327,45.132248,19.369396,250.64993,77.24528,107.52086,156.41273,61.757885,304.95612,72.82435,47.603737,71.01747,119.523544,84.43816,43.221924,17.182753
1985-06-01,39.01729,277.33286,163.95706,41.81074,100.9347,89.29683,3.4180772,16.21046,3.9394836,111.024994,35.145714,62.487976,111.58027,6.766608,335.04172,48.795235,18.264652,6.8429556,106.98595,100.69563,10.33592,2.357574
1985-07-01,48.993202,172.85461,154.73622,52.87515,67.05754,44.5518,13.834755,51.831936,3.5664492,74.315956,49.99076,11.338466,138.07964,22.108349,282.09943,86.92469,11.38516,4.427453,100.599884,122.55147,26.19244,5.0040097
1985-08-01,79.18011,116.26981,141.83528,31.842276,11.130549,20.089973,9.137229,13.834218,8.304064,65.44829,23.007687,4.344637,171.72966,34.439953,282.32614,85.76174,12.310736,6.02561,29.19434,64.5393,35.60042,2.0966434
1985-09-01,108.00281,50.904835,142.42342,34.788723,4.44205,26.188341,65.32807,38.00081,64.90433,72.56573,56.537926,15.388756,152.98026,89.16079,147.99356,93.54458,54.993805,48.365166,11.728548,22.165722,74.695724,37.696316
1985-10-01,197.16599,48.058804,201.54283,105.59921,0.6691452,87.43047,175.5682,93.734436,109.64123,134.33313,86.24489,85.744896,71.32008,189.33188,102.81907,114.038086,49.66688,221.34073,1.8537674,6.2732253,107.29983,125.11278
1985-11-01,257.03296,121.28613,243.9468,162.01659,6.2584186,136.65579,185.95184,113.93903,197.71742,175.01535,81.50196,113.80007,21.099348,213.21469,155.46849,92.947266,144.35507,223.98651,4.568969,26.841133,183.80447,189.93803
